epoch,train_loss,val_roc_auc,val_pr_auc,best_val_pr_auc,duration_seconds,is_best
1,0.18394148023866064,0.8439633267613669,0.24550763301708364,0.24550763301708364,180.2772195339203,True
2,0.16808987356347146,0.8582238207120578,0.2754474658144158,0.2754474658144158,177.63583779335022,True
3,0.16450381506261208,0.8648078550957031,0.2956448250076857,0.2956448250076857,182.59827208518982,True
4,0.1620601901154724,0.871033345378286,0.3105582117453361,0.3105582117453361,178.56412863731384,True
5,0.16037025732530966,0.8739450443150468,0.31755231004507706,0.31755231004507706,176.08852910995483,True
6,0.15905851325113995,0.8772685653277899,0.3272075962782544,0.3272075962782544,175.60156083106995,True
7,0.15790721773029232,0.8801983063407489,0.33333394246002523,0.33333394246002523,172.23599219322205,True
8,0.156916446190515,0.8809252062744258,0.3370503732737275,0.3370503732737275,173.6697223186493,True
9,0.15620601950146312,0.8827004830436196,0.34026289466152004,0.34026289466152004,172.79181361198425,True
10,0.15564592860156684,0.8832249174852529,0.3415614870823916,0.3415614870823916,173.11814665794373,True
