epoch,train_loss,val_roc_auc,val_pr_auc,best_val_pr_auc,duration_seconds,is_best
1,0.18260633450189082,0.8424580515181737,0.24581163922048135,0.24581163922048135,178.76071214675903,True
2,0.16818491486336687,0.8567678137995779,0.27326430910829597,0.27326430910829597,177.590313911438,True
3,0.1643835861691468,0.8592568132067059,0.2845227727705442,0.2845227727705442,177.3542459011078,True
4,0.16205330470697485,0.8665113952068582,0.30390170628922,0.30390170628922,176.55455923080444,True
5,0.16013951692864192,0.8731943463014751,0.31787203000361103,0.31787203000361103,177.6855013370514,True
6,0.15878162437634502,0.8737961719386422,0.3193652820581813,0.3193652820581813,178.4003176689148,True
7,0.15790079138476215,0.8779564651900776,0.32888143423009336,0.32888143423009336,177.59092330932617,True
8,0.15692932521053354,0.8791964523829804,0.33296859156853276,0.33296859156853276,176.64902925491333,True
9,0.15654761340978335,0.8798022775164306,0.334632584918705,0.334632584918705,180.00063967704773,True
10,0.1558999330341387,0.8818455933544938,0.3384297670087676,0.3384297670087676,178.40881037712097,True
