epoch,train_loss,val_roc_auc,val_pr_auc,best_val_pr_auc,duration_seconds,is_best
1,0.17713113198820635,0.8645270031112684,0.29323219532196027,0.29323219532196027,216.74183416366577,True
2,0.160804293395804,0.8731236172566473,0.3159823774167575,0.3159823774167575,213.97367668151855,True
3,0.15762623546363638,0.8794184254943775,0.3343211701374508,0.3343211701374508,215.4818470478058,True
4,0.15546103450034163,0.8821944051006245,0.3386652794576828,0.3386652794576828,213.8654968738556,True
5,0.15406570070081477,0.8850764514054275,0.3448385211682386,0.3448385211682386,218.84172582626343,True
6,0.1532284859701884,0.886383205327255,0.3485332217048925,0.3485332217048925,215.9587585926056,True
7,0.15240196705722123,0.8880832257621358,0.3535939014897337,0.3535939014897337,214.82611274719238,True
8,0.15184707941768838,0.889464690649038,0.3567144245558133,0.3567144245558133,217.30908370018005,True
9,0.15127322075607108,0.8905341791022848,0.3589692521017541,0.3589692521017541,215.79294109344482,True
10,0.1509644421420509,0.8908190776413918,0.3596079858808814,0.3596079858808814,217.07292819023132,True
11,0.1506864614516711,0.8919175670701893,0.3627583608553624,0.3627583608553624,215.25142002105713,True
12,0.15024339034617376,0.892260701251883,0.3634528634521217,0.3634528634521217,217.19268465042114,True
13,0.14984959028393244,0.8923984807160382,0.36530428261877823,0.36530428261877823,216.39936518669128,True
14,0.1496311105412545,0.8934201890251354,0.3678717367138573,0.3678717367138573,217.1131308078766,True
15,0.1495186113517919,0.893857222644344,0.3692558983708448,0.3692558983708448,216.91592407226562,True
16,0.14920553913433776,0.8942240552864649,0.37049856270410664,0.37049856270410664,215.16373562812805,True
17,0.14899749562894699,0.8942281282023375,0.37137356427202334,0.37137356427202334,216.51508736610413,True
18,0.1489173322916031,0.8949674592402429,0.3728316795531977,0.3728316795531977,216.03846645355225,True
19,0.14874567578164793,0.8946864790965192,0.37272628330058366,0.3728316795531977,216.4482660293579,False
20,0.14849103868222066,0.8952590304358298,0.3749821668809254,0.3749821668809254,213.9759521484375,True
